Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2019-09-07 13:45:03.708,0,0,0,104,True,8,car,0 days 01:00:02.615000,0 days 01:00:02.615000
2019-09-07 13:45:03.948,0,0,0,104,True,8,car,0 days 01:00:02.855000,0 days 01:00:02.855000
2019-09-07 13:45:04.188,0,0,0,104,True,8,car,0 days 01:00:03.095000,0 days 01:00:03.095000
2019-09-07 13:45:04.428,0,0,0,104,True,8,car,0 days 01:00:03.335000,0 days 01:00:03.335000
2019-09-07 13:45:04.668,0,0,0,104,True,8,car,0 days 01:00:03.575000,0 days 01:00:03.575000
2019-09-07 13:45:04.869,0,0,0,104,True,8,car,0 days 01:00:03.776000,0 days 01:00:03.776000
2019-09-07 13:45:05.109,0,0,0,104,True,8,car,0 days 01:00:04.016000,0 days 01:00:04.016000
2019-09-07 13:45:05.429,0,0,0,104,True,8,car,0 days 01:00:04.336000,0 days 01:00:04.336000
2019-09-07 13:45:05.669,0,0,0,104,True,8,car,0 days 01:00:04.576000,0 days 01:00:04.576000
2019-09-07 13:45:05.909,0,0,0,104,True,8,car,0 days 01:00:04.816000,0 days 01:00:04.816000
2019-09-07 13:45:06.149,0,0,0,104,True,8,car,0 days 01:00:05.056000,0 days 01:00:05.056000
2019-09-07 13:45:06.389,0,0,0,104,True,8,car,0 days 01:00:05.296000,0 days 01:00:05.296000
2019-09-07 13:45:06.629,0,0,0,104,True,8,car,0 days 01:00:05.536000,0 days 01:00:05.536000
2019-09-07 13:45:06.869,0,0,0,104,True,8,car,0 days 01:00:05.776000,0 days 01:00:05.776000
2019-09-07 13:45:07.109,0,0,0,104,True,8,car,0 days 01:00:06.016000,0 days 01:00:06.016000
2019-09-07 13:45:07.349,0,0,0,104,True,8,car,0 days 01:00:06.256000,0 days 01:00:06.256000
2019-09-07 13:45:07.589,0,0,0,104,True,8,car,0 days 01:00:06.496000,0 days 01:00:06.496000
2019-09-07 13:45:07.869,0,0,0,104,True,8,car,0 days 01:00:06.776000,0 days 01:00:06.776000
2019-09-07 13:45:08.109,0,0,0,104,True,8,car,0 days 01:00:07.016000,0 days 01:00:07.016000
2019-09-07 13:45:08.389,0,0,0,104,True,8,car,0 days 01:00:07.296000,0 days 01:00:07.296000
2019-09-07 13:45:08.629,0,0,0,104,True,8,car,0 days 01:00:07.536000,0 days 01:00:07.536000
2019-09-07 13:45:08.869,0,0,0,104,True,8,car,0 days 01:00:07.776000,0 days 01:00:07.776000
2019-09-07 13:45:09.109,0,0,0,104,True,8,car,0 days 01:00:08.016000,0 days 01:00:08.016000
2019-09-07 13:45:09.349,0,0,0,104,True,8,car,0 days 01:00:08.256000,0 days 01:00:08.256000
2019-09-07 13:45:09.589,0,0,0,104,True,8,car,0 days 01:00:08.496000,0 days 01:00:08.496000
